	Name	Notes	FullAddress	City	Province	PostalCode	lat	long
40	Bureau en Gros; Pointe-Claire	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	365 boul. Brunswick	Pointe-Claire	Quebec	H9R 4S1	45.4931486	-73.7084228
41	Bureau en Gros; Lasalle	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	7097 boul. Newman	Montréal	Quebec	H8N 1X1	45.4647783	-73.8364584
42	Bureau en Gros; Des Sources	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3165 boul. Des Sources	Dorval	Quebec	H9B 1Z6	 None	 None
43	Bureau en Gros; île-Perrot	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	475 Grand Boulevard	L'île-Perrot	Quebec	J7V 4X4	 None	 None
44	Bureau en Gros; Mtl-Sherbrooke	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	5157 rue Sherbrooke Ouest	Montréal	Quebec	H4A 1T5	 None	 None
45	Bureau en Gros; Marché Central	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1041 rue du Marché Central	Montréal	Quebec	H4N 1J8	45.4758541	-73.6075041
46	Bureau en Gros; Valleyfield	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1560 boul. Monseigneur Langlois	Salaberry-de-Valleyfield	Quebec	J6S 1E3	45.5343782	-73.6575441
47	Bureau en Gros; Boucherville	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	582 ch. de Touraine bureau 301	Boucherville	Quebec	J4B 8S5	45.270638	-74.1288828
48	Écocentre de Trois-Rivières	ICI sur rendez-vous seulement	2455 rue Charbonneau	Trois-Rivières	Quebec	G9A 5C9	45.5727667	-73.4037551
49	Écocentre Région du Lac-Mégantic		5138 rue Pie-XI	Lac-Mégantic	Quebec	G6B 2S3	46.32184	-72.5982525
50	Écocentre de Magog		2300 rue Tanguay	Magog	Quebec	J1X 5Y5	45.5994683	-70.8787557
51	Écocentre de Senneterre		740 ch. du Parc-Industriel	Senneterre	Quebec	J0Y 2M0	45.2790317	-72.1210582
52	Écocentre de Val-d'Or		2001 3e Avenue Est	Val-d'Or	Quebec	J9P 7B4	48.3787803	-77.160973
53	Écocentre de Malartic		555 ch. du lac Mourier	Malartic	Quebec	J0Y 1Z0	48.093459	-77.872668
54	Écocentre de Neuville		1310 ch. Du Site	Neuville	Quebec	G0A 2R0	48.1129979	-78.1414464
55	Écocentre de Rivière-du-Loup		100 rue Delage	Rivière-du-Loup	Quebec	G5R 3P9	 None	 None
56	Écocentre de Saint-Alexandre		619 rte 289	Saint-Alexandre-de-Kamouraska	Quebec	G0L 2G0	 None	 None
57	Écocentre Chicoutimi Secteur Nord		2932 rue Vimy	Saguenay	Quebec	G7G 3N6	 None	 None
